
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
44:F0:34:4A:15:89, 2026-04-21 15:09:45, 2026-04-21 15:10:51,  3, 130, WPA2, CCMP, PSK, -69,        1,        0,   0.  0.  0.  0,   9, COSTEL-24, 
88:66:39:29:A8:24, 2026-04-21 15:10:45, 2026-04-21 15:10:46,  1, 130, WPA2, CCMP, PSK, -42,        3,        2,   0.  0.  0.  0,   9, DIGI-2MGY, 
FC:F6:47:D1:E9:CB, 2026-04-21 15:10:45, 2026-04-21 15:10:45,  1, 270, WPA2, CCMP, PSK, -78,        1,        0,   0.  0.  0.  0,  11, DIGI_cd1dd0, 
82:EB:B6:37:59:20, 2026-04-21 15:10:45, 2026-04-21 15:10:45,  4, 130, WPA2, CCMP, PSK, -78,        1,        0,   0.  0.  0.  0,  12, TP-Link_5928, 
82:EB:B6:37:59:21, 2026-04-21 15:10:45, 2026-04-21 15:10:45,  4, 130, WPA2, CCMP, PSK, -80,        2,        1,   0.  0.  0.  0,  30, , 
C4:44:7D:2A:36:30, 2026-04-21 15:10:45, 2026-04-21 15:10:46, 11, 130, WPA2 WPA, CCMP, PSK, -72,        2,        1,   0.  0.  0.  0,   6, George, 
0C:C6:CC:EB:D2:A8, 2026-04-21 15:10:45, 2026-04-21 15:10:48,  8, 130, WPA2 WPA, CCMP, PSK, -72,        6,        0,   0.  0.  0.  0,   9, DIGI-8ejm, 
DA:68:52:3F:EB:58, 2026-04-21 15:10:45, 2026-04-21 15:10:47,  8, 360, WPA2 WPA, CCMP, PSK, -67,        5,        0,   0.  0.  0.  0,   9, DIGI-M4d9, 
28:F8:D6:B9:92:71, 2026-04-21 15:10:46, 2026-04-21 15:10:46, 13, 360, WPA2, CCMP, PSK, -68,        2,        0,   0.  0.  0.  0,   9, DIGI-sES5, 
DA:68:52:3F:EB:5C, 2026-04-21 15:10:46, 2026-04-21 15:10:46, 36, 866, WPA2 WPA, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,  11, DIGI-5-M4d9, 
7A:EB:B6:37:59:27, 2026-04-21 15:10:46, 2026-04-21 15:10:46, 36, 360, WPA2, CCMP, PSK, -84,        1,        0,   0.  0.  0.  0,  10, TP-Link_5G, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
AA:D1:F6:3A:5F:5E, 2026-04-21 15:09:30, 2026-04-21 15:09:30, -41,        2, (not associated) ,
22:AE:79:8A:E9:BE, 2026-04-21 15:09:30, 2026-04-21 15:09:30, -35,        2, (not associated) ,
FE:53:C7:8A:02:1C, 2026-04-21 15:09:31, 2026-04-21 15:09:31, -37,        1, (not associated) ,
7A:64:B2:4A:C2:84, 2026-04-21 15:09:31, 2026-04-21 15:09:31, -37,        2, (not associated) ,
44:72:AC:98:2D:29, 2026-04-21 15:09:33, 2026-04-21 15:10:18, -85,       15, (not associated) ,A36 al utilizatorului Constantin
EE:17:6C:89:FF:14, 2026-04-21 15:09:33, 2026-04-21 15:09:33, -81,        1, (not associated) ,
B2:81:1E:AD:B1:EE, 2026-04-21 15:09:54, 2026-04-21 15:09:54, -83,        1, (not associated) ,
9E:DE:D0:50:FD:81, 2026-04-21 15:10:01, 2026-04-21 15:10:02, -85,        8, (not associated) ,Zebra-WiFi
2C:CF:67:85:B3:B9, 2026-04-21 15:10:45, 2026-04-21 15:10:45,  -1,        2, 88:66:39:29:A8:24,
8C:57:9B:D6:F8:D6, 2026-04-21 15:10:45, 2026-04-21 15:10:45,  -1,        1, C4:44:7D:2A:36:30,
04:62:50:91:65:9E, 2026-04-21 15:10:58, 2026-04-21 15:10:58, -85,        1, (not associated) ,
32:3F:67:45:01:B4, 2026-04-21 15:10:59, 2026-04-21 15:10:59, -75,        2, (not associated) ,
42:9F:6E:05:6E:81, 2026-04-21 15:10:59, 2026-04-21 15:10:59, -33,        2, (not associated) ,

